Source_Page,Table_Number,0,1,2
135,1,"S/
N",SECTORS,CHALLENGES
135,1,1,Education,"Inadequate infrastructure such as desks, classrooms, toilets 
● 
and  staff  houses  Pupil  teacher  ratio  at  primary level  is  still 
high  
Early  marriages  and  teenage  pregnancies  resulting  from 
● 
high Poverty levels 
Inadequate  teaching  and  learning  materials  to  provide 
● 
quality education.  
Inadequate transport at the district office 
● 
Inadequate PMEC vacancies as some teachers serving in 
● 
other districts"
136,2,2,"Housing and 
Infrastructure","Inadequate housing. 
▪ 
High cost of transporting building materials 
▪ 
Poor adherence to building standards 
▪"
136,2,3,"Health 
and 
Nutrition","Lack of a first level hospital 
▪ 
Longer distances to health posts 
▪ 
Inadequate health staff 
▪ 
Inadequate transport 
▪ 
Inadequate health infrastructure  
▪"
136,2,4,"Water and 
Sanitation","Inadequate access to clean and safe drinking water. 
▪ 
Inadequate sanitation facilities 
▪ 
Broken down boreholes 
▪ 
Poor waste management 
▪ 
Lack of gazetted dump sites 
▪ 
Inadequate garbage collection points 
▪ 
Lack of purposive vehicle for garbage collection 
▪"
136,2,5,Transportation,"Poor road network 
▪ 
Inadequate bridges and crossing points 
▪ 
Lack of road maintenance equipment and machinery 
▪ 
Inadequate bituminous roads 
▪"
136,2,6,Energy,"Limited access to the national power grid 
▪ 
Low coverage by rural electrification 
▪ 
Lack of filling station 
▪"
136,2,7,"Commerce 
and trade","Lack of gazetted markets 
▪ 
 Long distances to trading areas 
▪ 
Lack of banks 
▪"
136,2,8,Agriculture,"Inadequate storage sheds 
▪ 
Inadequate extension services 
▪ 
Inadequate houses for extension officers 
▪"
136,2,9,"Forestry, 
Wildlife 
and","Deforestation 
▪ 
Lack of transport 
▪"
137,3,,"Natural 
Resources","Encroachment in forests 
▪"
137,3,10,Security,"Long distances to police stations 
▪ 
Inadequate transport 
▪ 
Inadequate housing 
▪"
